Date,GMT+8,Source timestamp,Source,10. Hubei,11. Rest of mainland China,12. Hong Kong,Macau,Taiwan,Japan,South Korea,Thailand,USA,Singapore,Vietnam,France,Australia,Nepal,Malaysia,Canada,Germany,United Arab Emirates,Cambodia,Finland,Sri Lanka
2020/01/20,-,,-,,,0,,,,,,,,,,,,,,,,,,
2020/01/21,,2020/01/21 1200 -0500,JHU CSSE,375,,0,,,,,,,,,,,,,,,,,,
2020/01/22,,2020/01/22 1200 -0500,JHU CSSE,444,98,0,1,1,2,2,1,1,0,0,0,0,0,0,,,,,,
2020/01/23,,2020/01/23 1200 -0500,JHU CSSE,375,196,1,1,1,1,1,4,1,1,2,0,0,0,0,,,,,,
2020/01/24,,2020/01/24 1200 -0500,JHU CSSE,549,367,2,2,3,2,2,5,2,2,2,2,0,0,0,,,,,,
2020/01/25,,2020/01/25 2300 -0500,JHU CSSE,761,638,5,2,3,2,2,7,2,3,2,3,4,1,3,,,,,,
2020/01/26,,2020/01/26 0900 -0500,JHU CSSE,1423,1314,8,6,4,4,3,8,5,4,2,3,4,1,4,1,,,,,
2020/01/27,,2020/01/26 2300 -0500,JHU CSSE,,,,,,,,,,,,,,,,,,,,,
2020/01/28,,2020/01/26 2030 -0500,JHU CSSE,,,,,,,,,,,,,,,,,,,,,
2020/01/29,,2020/02/29 2100 -0500,JHU CSSE,4586,3092,10,7,8,11,4,14,5,10,2,5,7,1,7,3,4,4,1,1,1